Player,Span,Matches,Inns,Balls,Runs,Wickets,Economy,Bowling SR,No of 4Wicket Haul,No of 5Wicket haul
M Muralitharan (Asia/ICC/SL),1993-2011,350,341,18811,12326,534,3.93,35.2,15,10
Wasim Akram (PAK),1984-2003,356,351,18186,11812,502,3.89,36.2,17,6
Waqar Younis (PAK),1989-2003,262,258,12698,9919,416,4.68,30.5,14,13
WPUJC Vaas (Asia/SL),1994-2008,322,320,15775,11014,400,4.18,39.4,9,4
Shahid Afridi (Asia/ICC/PAK),1996-2015,398,372,17670,13632,395,4.62,44.7,4,9
SM Pollock (Afr/ICC/SA),1996-2008,303,297,15712,9631,393,3.67,39.9,12,5
GD McGrath (AUS/ICC),1993-2007,250,248,12970,8391,381,3.88,34,9,7
B Lee (AUS),2000-2012,221,217,11185,8877,380,4.76,29.4,14,9
SL Malinga (SL),2004-2019,226,220,10936,9760,338,5.35,32.3,11,8
A Kumble (Asia/INDIA),1990-2007,271,265,14496,10412,337,4.3,43,8,2
ST Jayasuriya (Asia/SL),1989-2011,445,368,14874,11871,323,4.78,46,8,4
J Srinath (INDIA),1991-2003,229,227,11935,8847,315,4.44,37.8,7,3
DL Vettori (ICC/NZ),1997-2015,295,277,14060,9674,305,4.12,46,8,2
SK Warne (AUS/ICC),1993-2005,194,191,10642,7541,293,4.25,36.3,12,1
AB Agarkar (INDIA),1998-2007,191,188,9484,8021,288,5.07,32.9,10,2
Saqlain Mushtaq (PAK),1995-2003,169,165,8770,6275,288,4.29,30.4,11,6
Z Khan (Asia/INDIA),2000-2012,200,197,10097,8301,282,4.93,35.8,7,1
JH Kallis (Afr/ICC/SA),1996-2014,328,283,10750,8680,273,4.84,39.3,2,2
AA Donald (SA),1991-2003,164,162,8561,5926,272,4.15,31.4,11,2
Abdul Razzaq (Asia/PAK),1996-2011,265,254,10941,8564,269,4.69,40.6,8,3
JM Anderson (ENG),2002-2015,194,191,9584,7861,269,4.92,35.6,11,2
Harbhajan Singh (Asia/INDIA),1998-2015,236,227,12479,8973,269,4.31,46.3,2,3
Mashrafe Mortaza (Asia/BDESH),2001-2019,217,217,10789,8759,266,4.87,40.5,7,1
M Ntini (ICC/SA),1998-2009,173,171,8687,6559,266,4.53,32.6,8,4
Shakib Al Hasan (BDESH),2006-2019,206,203,10517,7857,260,4.48,40.4,8,2
N Kapil Dev (INDIA),1978-1994,225,221,11202,6945,253,3.71,44.2,3,1
Shoaib Akhtar (Asia/ICC/PAK),1998-2011,163,162,7764,6169,247,4.76,31.4,6,4
KD Mills (NZ),2001-2015,170,169,8230,6485,240,4.72,34.2,8,1
MG Johnson (AUS),2005-2015,153,150,7489,6038,239,4.83,31.3,9,3
HH Streak (Afr/ZIM),1993-2005,189,185,9468,7129,239,4.51,39.6,7,1
D Gough (ENG/ICC),1994-2006,159,156,8470,6209,235,4.39,36,10,2
CA Walsh (WI),1985-2000,205,204,10822,6918,227,3.83,47.6,6,1
CEL Ambrose (WI),1988-2000,176,175,9353,5429,225,3.48,41.5,6,4
Abdur Razzak (BDESH),2004-2014,153,152,7965,6065,207,4.56,38.4,5,4
CZ Harris (NZ),1990-2004,250,232,10667,7613,203,4.28,52.5,2,1
CJ McDermott (AUS),1985-1996,138,138,7461,5018,203,4.03,36.7,4,1
CL Cairns (ICC/NZ),1991-2006,215,186,8168,6594,201,4.84,40.6,3,1
DJ Bravo (WI),2004-2014,164,150,6511,5874,199,5.41,32.7,6,1
KMDN Kulasekara (SL),2003-2017,184,181,8263,6751,199,4.9,41.5,4,1
BKV Prasad (INDIA),1994-2001,161,160,8129,6332,196,4.67,41.4,3,1
DW Steyn (Afr/SA),2005-2019,125,124,6256,5087,196,4.87,31.9,4,3
SR Waugh (AUS),1986-2002,325,207,8883,6761,195,4.56,45.5,3,0
CL Hooper (WI),1987-2003,227,203,9573,6958,193,4.36,49.6,3,0
L Klusener (SA),1996-2004,171,164,7336,5751,192,4.7,38.2,1,6
M Morkel (Afr/SA),2007-2018,117,114,5760,4761,188,4.95,30.6,7,2
CRD Fernando (Asia/SL),2001-2012,147,141,6507,5648,187,5.2,34.7,3,1
TG Southee (NZ),2008-2019,140,138,7021,6373,186,5.44,37.7,4,3
Saeed Ajmal (PAK),2008-2015,113,112,6000,4182,184,4.18,32.6,6,2
Aaqib Javed (PAK),1988-1998,163,159,8012,5721,182,4.28,44,2,4
Imran Khan (PAK),1974-1992,175,153,7461,4844,182,3.89,40.9,3,1
RA Jadeja (INDIA),2009-2019,159,155,8029,6552,181,4.89,44.3,7,1
Umar Gul (PAK),2003-2016,130,128,6064,5253,179,5.19,33.8,4,2
SCJ Broad (ENG),2006-2016,121,121,6109,5364,178,5.26,34.3,9,1
NW Bracken (AUS),2001-2009,116,116,5759,4240,174,4.41,33,5,2
Imran Tahir (SA),2011-2019,107,104,5541,4297,173,4.65,32,7,3
JDP Oram (NZ),2001-2012,160,154,6911,5047,173,4.38,39.9,3,2
IK Pathan (INDIA),2004-2012,120,118,5855,5142,173,5.26,33.8,5,2
MA Starc (AUS),2010-2019,85,85,4315,3611,172,5.02,25,11,7
NLTC Perera (SL),2009-2019,161,152,5711,5556,171,5.83,33.3,5,4
A Flintoff (ENG/ICC),1999-2009,141,119,5624,4121,169,4.39,33.2,6,2
SR Watson (AUS),2002-2015,190,163,6466,5342,168,4.95,38.4,3,0
CH Gayle (ICC/WI),1999-2019,301,199,7424,5926,167,4.78,44.4,3,1
TA Boult (NZ),2012-2019,89,89,4884,4111,164,5.05,29.7,7,5
Mushtaq Ahmed (PAK),1989-2003,144,142,7543,5361,161,4.26,46.8,3,1
Sir RJ Hadlee (NZ),1973-1990,115,112,6182,3407,158,3.3,39.1,1,5
Shoaib Malik (PAK),1999-2019,287,217,7958,6192,158,4.66,50.3,1,0
MD Marshall (WI),1980-1992,136,134,7175,4233,157,3.53,45.7,6,0
A Nehra (Asia/INDIA),2001-2011,120,120,5751,4981,157,5.19,36.6,5,2
M Prabhakar (INDIA),1984-1996,130,127,6360,4534,157,4.27,40.5,4,2
GB Hogg (AUS),1996-2008,123,113,5564,4188,156,4.51,35.6,3,2
SR Tendulkar (INDIA),1989-2012,463,270,8054,6850,154,5.1,52.2,4,2
